"run_num","initial_inf","duration","imposed_lockdown?","personal_protection?","isolate_symptomatics?","test_and_trace?","shield_vulnerable?","closed_system?","lose_immunity?","lockdown_threshold","protection_threshold","isolate_threshold","testtrace_threshold","shield_threshold","lockdown_strictness","protection_strength","isolation_strictness","travel_strictness","shield_adherance","sym_test_coverage","asym_test_coverage","p_infect_init","p_death","z_contact_min","asym_infections","incubation_mean","incubation_stdev","recovery_mean","recovery_stdev","death_mean","death_stdev","immunity_mean","iso_countdown_max","mean_iso_reduction","min_pxcor","min_pycor","max_pxcor","max_pycor","step","count susceptibles","count exposeds","count symptomatics","count asymptomatics","count recovereds","count deads","count locked","currently_locked?","num_contacts","dead_0_29","dead_30_59","dead_60+","count_infecteds_0_29","count_infecteds_30_59","count_infecteds_60+"
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,18,87735,951,318,987,8,1,15502,FALSE,421997,1,0,0,408,458,261
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,19,87523,924,372,1168,12,1,18098,FALSE,369001,1,0,0,478,546,304
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,20,87303,952,443,1285,16,1,19384,FALSE,343795,1,0,0,551,621,344
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,21,87053,978,520,1428,19,2,20085,FALSE,331638,1,1,0,630,704,382
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,22,86787,1021,583,1580,27,2,20470,FALSE,325053,1,1,0,706,794,414
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,23,86509,1077,679,1695,37,3,20735,FALSE,321490,1,1,1,812,885,453
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,24,86255,1096,752,1845,49,3,20877,FALSE,319033,1,1,1,909,992,473
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,25,85944,1175,850,1958,68,5,20990,FALSE,317737,1,1,3,1025,1096,489
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,26,85620,1234,923,2119,99,5,73014,TRUE,316685,1,1,3,1142,1215,498
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,27,85591,991,1005,2274,132,7,73030,TRUE,19260,1,2,4,1259,1338,510
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,28,85561,768,1095,2411,158,7,73056,TRUE,19222,1,2,4,1368,1474,516
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,29,85535,564,1190,2506,196,9,73078,TRUE,19165,1,3,5,1490,1590,523
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,30,85500,401,1277,2564,247,11,73106,TRUE,19120,1,4,6,1589,1708,525
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,31,85457,313,1366,2544,309,11,73136,TRUE,19056,1,4,6,1668,1803,528
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,32,85417,254,1433,2505,378,13,73155,TRUE,18981,1,5,7,1743,1869,529
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,33,85389,213,1485,2440,458,15,73165,TRUE,18920,1,6,8,1803,1923,529
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,34,85354,192,1508,2359,572,15,73186,TRUE,18894,1,6,8,1854,1965,529
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,35,85325,162,1527,2302,669,15,73207,TRUE,18852,1,6,8,1893,2010,529
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,36,85294,151,1518,2233,786,18,73218,TRUE,18810,1,7,10,1921,2045,529
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,37,85264,145,1506,2175,892,18,73234,TRUE,18781,1,7,10,1936,2072,529
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,38,85238,130,1465,2131,1013,23,73240,TRUE,18744,3,8,12,1955,2097,529
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,39,85217,129,1431,2026,1173,24,73252,TRUE,18717,4,8,12,1971,2114,529
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,40,85190,118,1407,1945,1315,25,73267,TRUE,18680,4,9,12,1990,2133,529
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,41,85173,110,1374,1849,1465,29,73273,TRUE,18651,4,12,13,2002,2149,529
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,42,85133,125,1328,1742,1637,35,73284,TRUE,18634,7,13,15,2017,2167,529
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,43,85110,118,1274,1618,1845,35,73295,TRUE,18582,7,13,15,2028,2185,529
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,44,85092,111,1210,1516,2035,36,73302,TRUE,18551,7,14,15,2043,2196,529
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,45,85073,112,1153,1399,2226,37,73310,TRUE,18531,7,15,15,2051,2208,529
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,46,85056,102,1080,1297,2424,41,73315,TRUE,18506,7,16,18,2062,2221,529
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,47,85043,94,1016,1194,2609,44,73319,TRUE,18481,8,18,18,2069,2231,529
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,48,85027,85,937,1094,2810,47,73328,TRUE,18460,10,18,19,2079,2252,529
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,49,85016,65,861,1019,2989,50,10208,FALSE,18412,10,19,21,2092,2266,529
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,50,84305,754,795,923,3172,51,15214,FALSE,422761,10,19,22,2101,2275,529
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,51,83865,1128,728,896,3329,54,17717,FALSE,371616,11,21,22,2116,2296,536
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,52,83488,1347,675,959,3476,55,18929,FALSE,347271,11,22,22,2162,2337,555
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,53,83102,1484,627,1115,3617,55,19582,FALSE,335724,11,22,22,2239,2418,570
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,54,82744,1552,598,1291,3757,58,19886,FALSE,329585,12,22,24,2333,2507,597
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,55,82361,1553,595,1545,3887,59,20085,FALSE,326702,13,22,24,2473,2624,627
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,56,81986,1592,628,1752,3980,62,20242,FALSE,324824,15,23,24,2601,2754,654
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,57,81611,1588,715,1939,4085,62,20405,FALSE,323348,15,23,24,2758,2914,689
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,58,81262,1573,790,2124,4189,62,20547,FALSE,321811,15,23,24,2913,3093,707
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,59,80871,1589,897,2291,4290,62,20703,FALSE,320515,15,23,24,3078,3291,718
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,60,80453,1634,1014,2473,4364,62,72816,TRUE,319081,15,23,24,3249,3483,728
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,61,80404,1302,1125,2683,4422,64,72850,TRUE,19518,16,24,24,3438,3652,733
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,62,80376,976,1251,2856,4477,64,72886,TRUE,19427,16,24,24,3593,3842,739
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,63,80332,737,1385,2949,4532,65,72921,TRUE,19356,16,25,24,3738,4023,741
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,64,80292,530,1519,3020,4574,65,72950,TRUE,19287,16,25,24,3896,4172,745
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,65,80244,400,1655,3027,4608,66,72990,TRUE,19230,16,26,24,4023,4296,746
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,66,80200,317,1745,3032,4640,66,73016,TRUE,19158,16,26,24,4108,4396,747
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,67,80177,233,1824,2999,4698,69,73043,TRUE,19100,16,27,26,4173,4493,747
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,68,80128,206,1870,2967,4756,73,73065,TRUE,19039,16,28,29,4221,4556,747
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,69,80104,169,1910,2902,4839,76,73090,TRUE,18979,16,30,30,4276,4603,747
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,70,80068,157,1925,2826,4947,77,73106,TRUE,18912,16,31,30,4305,4629,748
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,71,80054,127,1939,2738,5065,77,73127,TRUE,18855,16,31,30,4336,4665,748
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,72,80025,125,1922,2632,5215,81,73142,TRUE,18813,17,33,31,4358,4694,748
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,73,79991,132,1893,2536,5365,83,73161,TRUE,18776,18,33,32,4371,4720,748
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,74,79968,124,1841,2439,5544,84,73174,TRUE,18733,19,33,32,4389,4738,748
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,75,79946,105,1800,2342,5720,87,73184,TRUE,18695,20,34,33,4410,4755,748
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,76,79917,111,1742,2216,5922,92,73192,TRUE,18666,22,35,35,4424,4766,748
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,77,79888,114,1669,2094,6142,93,73197,TRUE,18638,22,36,35,4433,4778,748
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,78,79870,108,1610,1942,6373,97,73212,TRUE,18627,24,38,35,4446,4800,748
1,0.1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,1,0.25,75,0,75,99,50,0,0,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,1,0,0,299,299,79,79855,99,1531,1801,6614,100,73221,TRUE,18570,25,39,36,4459,4811,748
